{MinNumObj=0, Unpruned=true, UseMDLCorrection=false}	17.79%	87.12%	82.21%	83.33%	182.50ms
{MinNumObj=0, Unpruned=false, UseMDLCorrection=false}	17.77%	86.68%	82.23%	83.18%	237.00ms
{MinNumObj=0, Unpruned=true, UseMDLCorrection=true}	17.58%	87.12%	82.42%	83.35%	211.50ms
{MinNumObj=0, Unpruned=false, UseMDLCorrection=true}	17.17%	87.11%	82.83%	83.57%	218.70ms
{MinNumObj=1, Unpruned=true, UseMDLCorrection=false}	18.36%	86.74%	81.64%	82.80%	62.40ms
{MinNumObj=1, Unpruned=true, UseMDLCorrection=true}	17.86%	86.80%	82.14%	83.12%	59.40ms
{MinNumObj=1, Unpruned=false, UseMDLCorrection=false}	18.09%	86.75%	81.91%	82.97%	99.20ms
{MinNumObj=1, Unpruned=false, UseMDLCorrection=true}	17.47%	86.93%	82.53%	83.39%	76.50ms
{MinNumObj=2, Unpruned=false, UseMDLCorrection=false}	18.68%	85.94%	81.32%	82.26%	73.70ms
{MinNumObj=2, Unpruned=true, UseMDLCorrection=false}	18.74%	85.98%	81.26%	82.24%	59.70ms
{MinNumObj=2, Unpruned=false, UseMDLCorrection=true}	18.31%	86.11%	81.69%	82.51%	74.20ms
{MinNumObj=3, Unpruned=true, UseMDLCorrection=false}	19.29%	85.45%	80.71%	81.70%	40.50ms
{MinNumObj=2, Unpruned=true, UseMDLCorrection=true}	18.36%	86.19%	81.64%	82.46%	58.90ms
{MinNumObj=4, Unpruned=true, UseMDLCorrection=false}	19.68%	84.65%	80.32%	81.08%	45.50ms
{MinNumObj=3, Unpruned=false, UseMDLCorrection=true}	18.88%	85.77%	81.12%	81.96%	59.40ms
{MinNumObj=4, Unpruned=false, UseMDLCorrection=false}	19.22%	84.74%	80.78%	81.43%	57.90ms
{MinNumObj=3, Unpruned=false, UseMDLCorrection=false}	18.96%	85.60%	81.04%	81.95%	58.50ms
{MinNumObj=3, Unpruned=true, UseMDLCorrection=true}	18.79%	85.85%	81.21%	82.12%	43.50ms
{MinNumObj=4, Unpruned=true, UseMDLCorrection=true}	19.13%	85.30%	80.87%	81.71%	57.10ms
{MinNumObj=4, Unpruned=false, UseMDLCorrection=true}	19.11%	84.98%	80.89%	81.56%	50.80ms
{MinNumObj=5, Unpruned=true, UseMDLCorrection=false}	20.06%	84.53%	79.94%	80.69%	61.50ms
{MinNumObj=5, Unpruned=true, UseMDLCorrection=true}	19.26%	84.96%	80.74%	81.43%	68.80ms
{MinNumObj=5, Unpruned=false, UseMDLCorrection=false}	20.02%	84.22%	79.98%	80.52%	81.90ms
{MinNumObj=5, Unpruned=false, UseMDLCorrection=true}	19.29%	84.84%	80.71%	81.15%	78.20ms
{MinNumObj=6, Unpruned=true, UseMDLCorrection=true}	20.35%	84.11%	79.65%	80.31%	56.90ms
{MinNumObj=6, Unpruned=true, UseMDLCorrection=false}	20.74%	83.63%	79.26%	79.87%	46.90ms
{MinNumObj=6, Unpruned=false, UseMDLCorrection=false}	20.59%	83.46%	79.41%	79.81%	79.00ms
{MinNumObj=7, Unpruned=true, UseMDLCorrection=false}	20.80%	83.63%	79.20%	79.74%	36.40ms
{MinNumObj=6, Unpruned=false, UseMDLCorrection=true}	20.11%	83.91%	79.89%	80.28%	72.20ms
{MinNumObj=7, Unpruned=false, UseMDLCorrection=false}	20.86%	83.42%	79.14%	79.57%	54.60ms
{MinNumObj=7, Unpruned=true, UseMDLCorrection=true}	20.80%	83.97%	79.20%	79.89%	47.10ms
{MinNumObj=8, Unpruned=true, UseMDLCorrection=false}	21.19%	84.12%	78.81%	79.32%	32.30ms
{MinNumObj=8, Unpruned=false, UseMDLCorrection=true}	21.51%	83.57%	78.49%	78.83%	45.80ms
{MinNumObj=8, Unpruned=true, UseMDLCorrection=true}	21.41%	83.78%	78.59%	78.99%	41.00ms
{MinNumObj=7, Unpruned=false, UseMDLCorrection=true}	20.69%	83.69%	79.31%	79.77%	53.50ms
{MinNumObj=8, Unpruned=false, UseMDLCorrection=false}	21.36%	83.82%	78.64%	79.04%	47.50ms
{MinNumObj=9, Unpruned=false, UseMDLCorrection=false}	22.17%	82.41%	77.83%	78.06%	41.50ms
{MinNumObj=10, Unpruned=true, UseMDLCorrection=false}	20.82%	82.91%	79.18%	79.34%	40.60ms
{MinNumObj=9, Unpruned=true, UseMDLCorrection=false}	20.50%	82.49%	79.50%	79.66%	37.70ms
{MinNumObj=9, Unpruned=true, UseMDLCorrection=true}	20.46%	82.97%	79.54%	79.81%	58.00ms
{MinNumObj=9, Unpruned=false, UseMDLCorrection=true}	21.90%	82.95%	78.10%	78.41%	56.40ms
{MinNumObj=10, Unpruned=false, UseMDLCorrection=false}	22.45%	83.01%	77.55%	77.83%	59.10ms
{MinNumObj=10, Unpruned=true, UseMDLCorrection=true}	20.80%	83.34%	79.20%	79.41%	35.20ms
{MinNumObj=10, Unpruned=false, UseMDLCorrection=true}	22.19%	83.27%	77.81%	78.12%	40.80ms
