{ComplexityConstant=0.7, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	40.58%	47.69%	59.42%	51.41%	2536.40ms
{ComplexityConstant=0.7, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	31.45%	69.62%	68.55%	66.14%	6134.10ms
{ComplexityConstant=0.7, Kernel=Puk kernel, BuildCalibrationModel=false}	35.87%	56.93%	64.13%	57.98%	11940.90ms
{ComplexityConstant=0.7999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	40.06%	48.86%	59.94%	52.26%	2023.50ms
{ComplexityConstant=0.7, Kernel=Puk kernel, BuildCalibrationModel=true}	25.67%	76.44%	74.33%	72.97%	18039.60ms
{ComplexityConstant=0.7999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	31.93%	69.36%	68.07%	65.81%	5348.50ms
{ComplexityConstant=0.7, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	48.79%	34.53%	51.21%	39.74%	20549.60ms
{ComplexityConstant=0.7999999999999999, Kernel=Puk kernel, BuildCalibrationModel=false}	33.68%	58.38%	66.32%	60.13%	10935.80ms
{ComplexityConstant=0.7, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	33.51%	63.05%	66.49%	62.12%	25665.90ms
{ComplexityConstant=0.8999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	39.83%	49.19%	60.17%	52.57%	1962.30ms
{ComplexityConstant=0.7999999999999999, Kernel=Puk kernel, BuildCalibrationModel=true}	25.80%	76.20%	74.20%	72.78%	16877.40ms
{ComplexityConstant=0.8999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	31.45%	69.69%	68.55%	66.26%	5396.90ms
{ComplexityConstant=0.7999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	51.19%	32.12%	48.81%	37.09%	19168.60ms
{ComplexityConstant=0.8999999999999999, Kernel=Puk kernel, BuildCalibrationModel=false}	32.06%	60.20%	67.94%	61.86%	10775.90ms
{ComplexityConstant=0.7999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	33.51%	62.58%	66.49%	62.38%	24410.30ms
{ComplexityConstant=0.9999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	39.55%	49.69%	60.45%	53.01%	2010.50ms
{ComplexityConstant=0.8999999999999999, Kernel=Puk kernel, BuildCalibrationModel=true}	25.80%	75.72%	74.20%	72.74%	16378.70ms
{ComplexityConstant=0.8999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	48.79%	34.54%	51.21%	39.74%	18193.60ms
{ComplexityConstant=0.9999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	31.34%	70.41%	68.66%	66.50%	5750.30ms
{ComplexityConstant=0.9999999999999999, Kernel=Puk kernel, BuildCalibrationModel=false}	31.56%	60.87%	68.44%	62.36%	12064.50ms
{ComplexityConstant=0.8999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	34.39%	62.47%	65.61%	61.59%	24610.70ms
{ComplexityConstant=1.0999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	39.37%	49.91%	60.63%	53.23%	2022.40ms
{ComplexityConstant=0.9999999999999999, Kernel=Puk kernel, BuildCalibrationModel=true}	25.72%	76.08%	74.28%	72.90%	17861.90ms
{ComplexityConstant=1.0999999999999999, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	30.93%	70.81%	69.07%	66.71%	5710.50ms
{ComplexityConstant=0.9999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	48.79%	34.54%	51.21%	39.75%	19031.90ms
{ComplexityConstant=1.0999999999999999, Kernel=Puk kernel, BuildCalibrationModel=false}	31.15%	61.18%	68.85%	62.80%	11052.80ms
{ComplexityConstant=0.9999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	34.85%	61.31%	65.15%	60.80%	23879.00ms
{ComplexityConstant=1.2, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	39.07%	50.94%	60.93%	53.70%	2436.20ms
{ComplexityConstant=1.0999999999999999, Kernel=Puk kernel, BuildCalibrationModel=true}	25.35%	75.99%	74.65%	73.13%	17454.70ms
{ComplexityConstant=1.0999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	48.79%	34.55%	51.21%	39.76%	18727.30ms
{ComplexityConstant=1.2, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	30.45%	70.47%	69.55%	67.01%	5825.90ms
{ComplexityConstant=1.2, Kernel=Puk kernel, BuildCalibrationModel=false}	31.13%	60.74%	68.87%	62.73%	11019.50ms
{ComplexityConstant=1.0999999999999999, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	36.32%	60.05%	63.68%	59.51%	23915.20ms
{ComplexityConstant=1.3, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	39.07%	51.05%	60.93%	53.80%	1995.20ms
{ComplexityConstant=1.2, Kernel=Puk kernel, BuildCalibrationModel=true}	25.07%	76.17%	74.93%	73.42%	16710.10ms
{ComplexityConstant=1.2, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	48.79%	34.55%	51.21%	39.76%	17379.30ms
{ComplexityConstant=1.3, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	30.54%	71.01%	69.46%	67.17%	5514.90ms
{ComplexityConstant=1.3, Kernel=Puk kernel, BuildCalibrationModel=false}	30.87%	61.01%	69.13%	63.02%	10782.70ms
{ComplexityConstant=1.2, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	35.82%	59.81%	64.18%	59.84%	22977.60ms
{ComplexityConstant=1.4000000000000001, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=false}	39.00%	51.35%	61.00%	53.97%	2078.00ms
{ComplexityConstant=1.3, Kernel=Puk kernel, BuildCalibrationModel=true}	24.98%	76.39%	75.02%	73.53%	16551.50ms
{ComplexityConstant=1.3, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	48.79%	34.55%	51.21%	39.76%	17290.90ms
{ComplexityConstant=1.4000000000000001, Kernel=Linear Kernel: K(x,y) = <x,y>, BuildCalibrationModel=true}	30.76%	70.66%	69.24%	66.97%	5746.30ms
{ComplexityConstant=1.4000000000000001, Kernel=Puk kernel, BuildCalibrationModel=false}	30.43%	61.69%	69.57%	63.63%	10806.60ms
{ComplexityConstant=1.3, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	34.76%	61.47%	65.24%	61.21%	22875.80ms
{ComplexityConstant=1.4000000000000001, Kernel=Puk kernel, BuildCalibrationModel=true}	25.26%	77.02%	74.74%	73.66%	15542.80ms
{ComplexityConstant=1.4000000000000001, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=false}	48.79%	34.55%	51.21%	39.76%	16062.30ms
{ComplexityConstant=1.4000000000000001, Kernel=RBF kernel: K(x,y) = e^-(0.01* <x-y,x-y>^2), BuildCalibrationModel=true}	34.28%	61.36%	65.72%	61.53%	19331.80ms
