{MinNumObj=1, Unpruned=true, UseMDLCorrection=false}	10.74%	89.05%	89.26%	89.07%	639.20ms
{MinNumObj=1, Unpruned=false, UseMDLCorrection=true}	10.76%	88.93%	89.24%	88.99%	776.60ms
{MinNumObj=0, Unpruned=true, UseMDLCorrection=false}	10.78%	89.11%	89.22%	89.08%	793.50ms
{MinNumObj=1, Unpruned=true, UseMDLCorrection=true}	10.78%	89.05%	89.22%	89.07%	619.60ms
{MinNumObj=1, Unpruned=false, UseMDLCorrection=false}	10.82%	88.82%	89.18%	88.90%	865.60ms
{MinNumObj=0, Unpruned=true, UseMDLCorrection=true}	10.86%	88.96%	89.14%	88.98%	757.20ms
{MinNumObj=0, Unpruned=false, UseMDLCorrection=false}	10.89%	88.77%	89.11%	88.83%	1035.80ms
{MinNumObj=0, Unpruned=false, UseMDLCorrection=true}	10.91%	88.71%	89.09%	88.79%	988.10ms
{MinNumObj=2, Unpruned=true, UseMDLCorrection=true}	11.32%	88.10%	88.68%	88.27%	505.70ms
{MinNumObj=2, Unpruned=true, UseMDLCorrection=false}	11.39%	87.96%	88.61%	88.14%	532.20ms
{MinNumObj=2, Unpruned=false, UseMDLCorrection=false}	11.58%	87.74%	88.42%	87.94%	678.80ms
{MinNumObj=2, Unpruned=false, UseMDLCorrection=true}	11.62%	87.79%	88.38%	87.95%	656.10ms
{MinNumObj=3, Unpruned=true, UseMDLCorrection=true}	11.97%	87.43%	88.03%	87.60%	462.50ms
{MinNumObj=3, Unpruned=false, UseMDLCorrection=true}	12.01%	87.41%	87.99%	87.54%	584.50ms
{MinNumObj=4, Unpruned=true, UseMDLCorrection=true}	12.14%	87.16%	87.86%	87.35%	485.30ms
{MinNumObj=3, Unpruned=true, UseMDLCorrection=false}	12.21%	87.18%	87.79%	87.29%	477.20ms
{MinNumObj=3, Unpruned=false, UseMDLCorrection=false}	12.23%	87.03%	87.77%	87.22%	593.80ms
{MinNumObj=4, Unpruned=false, UseMDLCorrection=true}	12.40%	86.83%	87.60%	87.05%	565.90ms
{MinNumObj=4, Unpruned=true, UseMDLCorrection=false}	12.40%	86.73%	87.60%	86.98%	458.00ms
{MinNumObj=4, Unpruned=false, UseMDLCorrection=false}	12.60%	86.50%	87.40%	86.78%	590.20ms
{MinNumObj=5, Unpruned=true, UseMDLCorrection=true}	12.77%	86.33%	87.23%	86.60%	419.80ms
{MinNumObj=5, Unpruned=false, UseMDLCorrection=true}	12.88%	86.09%	87.12%	86.42%	543.70ms
{MinNumObj=5, Unpruned=true, UseMDLCorrection=false}	12.94%	86.03%	87.06%	86.32%	427.10ms
{MinNumObj=5, Unpruned=false, UseMDLCorrection=false}	13.12%	85.68%	86.88%	86.08%	515.80ms
{MinNumObj=6, Unpruned=true, UseMDLCorrection=true}	13.35%	85.56%	86.65%	85.94%	387.30ms
{MinNumObj=6, Unpruned=true, UseMDLCorrection=false}	13.42%	85.44%	86.58%	85.80%	389.40ms
{MinNumObj=7, Unpruned=true, UseMDLCorrection=false}	13.59%	85.36%	86.41%	85.64%	381.30ms
{MinNumObj=6, Unpruned=false, UseMDLCorrection=false}	13.59%	85.24%	86.41%	85.62%	484.00ms
{MinNumObj=6, Unpruned=false, UseMDLCorrection=true}	13.61%	85.29%	86.39%	85.65%	487.90ms
{MinNumObj=7, Unpruned=true, UseMDLCorrection=true}	13.70%	85.20%	86.30%	85.53%	372.20ms
{MinNumObj=8, Unpruned=true, UseMDLCorrection=false}	13.81%	85.07%	86.19%	85.34%	356.30ms
{MinNumObj=7, Unpruned=false, UseMDLCorrection=false}	13.83%	85.03%	86.17%	85.35%	490.60ms
{MinNumObj=7, Unpruned=false, UseMDLCorrection=true}	13.94%	84.86%	86.06%	85.23%	468.70ms
{MinNumObj=8, Unpruned=true, UseMDLCorrection=true}	14.07%	84.71%	85.93%	85.05%	366.70ms
{MinNumObj=8, Unpruned=false, UseMDLCorrection=false}	14.22%	84.51%	85.78%	84.85%	453.40ms
{MinNumObj=8, Unpruned=false, UseMDLCorrection=true}	14.28%	84.30%	85.72%	84.75%	453.10ms
{MinNumObj=9, Unpruned=true, UseMDLCorrection=false}	14.37%	84.30%	85.63%	84.73%	352.10ms
{MinNumObj=9, Unpruned=true, UseMDLCorrection=true}	14.48%	84.13%	85.52%	84.56%	348.60ms
{MinNumObj=9, Unpruned=false, UseMDLCorrection=false}	14.72%	83.75%	85.28%	84.26%	452.50ms
{MinNumObj=9, Unpruned=false, UseMDLCorrection=true}	14.80%	83.64%	85.20%	84.13%	439.40ms
{MinNumObj=10, Unpruned=true, UseMDLCorrection=false}	14.98%	83.50%	85.02%	83.95%	343.90ms
{MinNumObj=10, Unpruned=false, UseMDLCorrection=false}	15.32%	82.82%	84.68%	83.45%	417.00ms
{MinNumObj=10, Unpruned=true, UseMDLCorrection=true}	15.33%	83.06%	84.67%	83.56%	323.70ms
{MinNumObj=10, Unpruned=false, UseMDLCorrection=true}	15.56%	82.63%	84.44%	83.22%	404.70ms
